"(Staging Copy)","（分段复制）"
"System","系统"
"System Configuration","系统配置"
"Table Prefix","表格前缀"
"Tags","标签"
"Target","目标"
"Terms And Conditions","条款与条件"
"The base URL for this website will be created automatically.","本网站的基础 URL 将被自动创建。"
"The master website has been restored.","主网站已被恢复。"
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.","密码必须包含至少 6 个字符。前导或尾随空格将被忽略。"
"The staging Website ""%s"" cannot be merged at this moment.","工程网站“%s”当前无法被合并。"
"The staging website has been created.","工程网站已创建。"
"The staging website has been merged.","工程网站已被合并。"
"The staging website has been saved.","工程网站已保存。"
"The staging website has been scheduled to merge.","工程网站已确定时间合并。"
"There are no items selected for rollback.","没有选定项目来回滚。"
"There are no store views for copying.","没有可供复制的商店视图。"
"There are no store views to be copied.","没有被复制的商店视图。"
"There is wrong value in configuration for entry points folder name.","初始点数文件夹名称配置中存在错误数值。"
"There was no mapping defined for store views.","没有为商店视图定义映射。"
"This backup is read-only, because a merge or a rollback is in progress.","备份为只读，因为合并或回滚操作正在进行中。"
"To","发送至"
"To create entry points, the folder %s must be writeable.","要创建初始点数，文件夹 %s 必须为可写状态。"
"URL","URL"
"URL Rewrites","URL重写"
"Unschedule","无法调度"
"Unschedule Merge","撤销合并调度"
"Updated At","更新于"
"Use All","全部使用"
"Visitor Logs","访客日志"
"Website","网站"
"Website From","网站来自"
"Website Mapping","网站映射"
"Website Name","网站名称"
"Website To","网站到"
"Website code is not defined.","网站代码未定义。"
"Website: ","网站："
"Websites Backup Information","网站备份信息"
"Wishlist","愿望清单"
"Wrong item resource adapter model.","项目资源适配器模型有误。"
"[deleted]","点击这里"
"available","可用"
"click here","确定"
"ok","确定"
"or","或"
"unknown item","未知项目"
"version mismatch","版本不匹配"
