"(Staging Copy)","Copie d'essai"
"Secure Base Url","URL de base sécurisée"
"Select Items to be Merged","Sélectionne articles à fusionner"
"Select Original Website Content to be Copied to the Staging Website","Sélectionne le contenu du site internet original qui doit être copié vers le site internet d'essai"
"Select Original Website Store Views to be Copied to Staging Website","Sélectionne les vues de boutique du site internet original qui doivent être copiées vers le site internet d'essai"
"Select website to map","Sélectionne le site internet à cartographier"
"Set Staging Merge Date","Fixe la date de fusion d'essai"
"Settings","Paramètres"
"Shopping Cart Price Rules","Règles du prix du caddy"
"Source Website","Site internet source"
"Staging Merge Schedule Configuration","Essai de configuration de programmation de fusion"
"Staging Operations Log","Essai d'opérations de connexion"
"Staging Store Code","Essai de code de boutique"
"Staging Store Name","Essai de nom de boutique"
"Staging Store: ","Essai de boutique:"
"Staging Table ""%s"" and Master Tables ""%s"" has different fields","Stagin Table ""%s"" et Master Tables ""%s"" ont différents champs"
"Staging Table %s does not exist","Essai de table %s n'existe pas"
"Staging Type","Essai de type"
"Staging Website","Essai de site internet"
"Staging Website - Merge Configuration","Essai de site internet – configuration de fusion"
"Staging Website Code","Essai du code de site internet"
"Staging Website Creation","Essai de création de site internet"
"Staging Website Id","Essai d'identification de site internet"
"Staging Website Information","Essai d'infos de site internet"
"Staging Website Name","Essai de nom de site internet"
"Staging Website Settings","Essai de paramètres de site internet"
"Staging Website: ","Essai de site internet:"
"Staging Websites","Essai de sites internet"
"Staging has been unscheduled.","Essai a été déprogrammé."
"Started","Commencé"
"Status","Statut"
"Status Reset","Réinitialiser statut"
"Store View Mapping","Cartographie vue de boutique"
"Store Views to Copy","Vues de boutique à copier"
"Store: ","Boutique:"
"System","Système"
"System Configuration","Configuration du système"
"Table Prefix","Préfixe de table"
"Tags","Étiquettes"
"Target","Cible"
"Terms And Conditions","Termes et conditions"
"The base URL for this website will be created automatically.","L'URL de base pour ce site web sera créée automatiquement."
"The master website has been restored.","Le site internet maître a été restauré."
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.","Le mot de passe doit avoir au moins 6 caractères. Des espaces au début ou à la fin seront ignorés."
"The staging Website ""%s"" cannot be merged at this moment.","Le site web ""%s"" ne peut pas être fusionné pour le moment."
"The staging website has been created.","Le site web a été créé."
"The staging website has been merged.","Le site web a été fusionné."
"The staging website has been saved.","Le site web a été enregistré."
"The staging website has been scheduled to merge.","Le site web sera fusionné à la date prévue."
"There are no items selected for rollback.","ll n'y a pas d'articles sélectionnés pour une annulation."
"There are no store views for copying.","Il n'y a pas de vues de boutique pour copier."
"There are no store views to be copied.","Il n'y a pas de vues de boutique pour être copiées."
"There is wrong value in configuration for entry points folder name.","Il y a une fausse valeur dans la configuration pour le nom de dossier des points d'entrée."
"There was no mapping defined for store views.","Il n'y a pas eu de cartographie définie pour les vues de boutique."
"This backup is read-only, because a merge or a rollback is in progress.","Cette sauvegarde ne peut qu'être lue, parce qu'une fusion ou une annulation est en cours."
"To","Accessible"
"To create entry points, the folder %s must be writeable.","Pour créer des points d'entrée, le dossier %s doit être accessible en écriture."
"URL","URL"
"URL Rewrites","Réécrit URL"
"Unschedule","Déprogramme"
"Unschedule Merge","Déprogramme fusion"
"Updated At","Mis à jour "
"Use All","Utilise tous"
"Visitor Logs","Journaux de bord Visiteur"
"Website","Site internet"
"Website From","Site internet de"
"Website Mapping","Cartographie du site internet"
"Website Name","Nom du site internet"
"Website To","Site internet "
"Website code is not defined.","Le code du site internet n'est pas défini."
"Website: ","Site internet:"
"Websites Backup Information","Infos de sauvegarde du site internet"
"Wishlist","Liste de vœux"
"Wrong item resource adapter model.","Mauvais modèle d'adaptateur de ressource d'article"
"[deleted]","[effacé]"
"available","disponible"
"click here","cliquer ici"
"ok","ok"
"or","ou"
"unknown item","article inconnu"
"version mismatch","disparité de version"
