"%1$d of %2$d invitations were discarded.","%1$d sur %2$d invitations ont été annulées."
"%1$d of %2$d invitations were sent.","%1$d sur %2$d invitations ont été envoyées."
"%d invitation(s) cannot be sent, because customer already exists for their emails. These invitations were discarded.","%d invitations(s) ne peuvent pas être envoyées, car un/des client(s) avec le même email existe(nt) déjà. Les invitations ont été annulées."
"%d invitation(s) were not sent, because customer accounts already exist for specified email addresses.","%d invitation(s) n'ont pas été envoyées, car des comptes clients avec les mêmes adresses email existent déjà."
"%d invitation(s) were sent.","%d invitation(s) ont été envoyées."
"%d of selected invitation(s) were skipped.","%d des invitation(s) sélectionnées ont été refusées."
"* Required Fields","* champs obligatoires"
"Invitation with status ""%s"" cannot be sent.","L'invitation avec le statut ""%s"" ne peut pas être envoyée."
"Invitations","Invitations"
"Invitations Accepted","Invitations acceptées"
"Invitations Information","Informations Invitations"
"Invitations Sent","Invitations envoyées"
"Invite your friends by entering their email addresses below","Invitez vos amis en inscrivant leurs adresses email ci-dessous"
"Invitee","Invité"
"Invitee Group","Groupe d'Invités"
"Invitee Information","Informations Invité"
"Inviter Information","Information Parrain"
"Last Name","Nom de Famille"
"Link","Lien"
"Manage Invitations","Gérer Invitations"
"Max Invitations Allowed to be Sent at One Time","Nombre Maxi d'Invitations pouvant être expédiées en même temps"
"Message","Message"
"Message cannot be updated.","Le Message ne peut pas être actualisé."
"My Invitations","Mes Invitations"
"N/A","N/A"
"Name","Nom"
"New Accounts Registration","Enregistrement Nouveaux Comptes"
"New Invitations","Nouvelles Invitations"
"No customer group id specified.","Aucun identifiant de groupe clients spécifié."
"No invitations have been resent","Aucune Invitation n'a été envoyée"
"Not Sent","Pas envoyé"
"Order Conversion Rate","Taux de Conversion Commande"
"Please enter valid email addresses, separated by new line.","Merci d'indiquer des adresses email valides, séparées par une ligne."
"Please select invitations.","Merci de sélectionner des invitations."
"Please specify at least one email.","Merci d'indiquer au moins une adresse email."
"Referred Customer Group","Groupe Client"
"Registered","Enregistré"
"Reports","Rapports"
"Same as Inviter","Même que Parrain"
"Save Invitation","Sauvegarder Invitation"
"Send At","Envoyé "
"Send From","Envoyé par"
"Send Invitation","Envoyer Invitation"
"Send Invitations","Envoyer Invitations"
"Send Selected","Envoyer sélection"
"Sent","Envoyé"
"Sign Up At","S'inscrire "
"Signed Up At","Inscrit "
"Status","Statut"
"Status History","Historique du Statut"
"Store View","Vue Boutique"
"The invitation has been saved.","L'invitation a été sauvegardée."
"There are no sent invitations yet","Il n'y a pas encore d'invitation envoyée"
"This invitation is not valid.","L'invitation n'est pas valide."
"Unable to determine proper website.","Impossible de trouver le site internet."
"Unable to generate encrypted code.","Imposible de générer un code crypté."
"Valid on Website","Valide sur le Site internet"
"Website","Site internet"
"Wrong store specified.","Nom de boutique invalide."
"You cannot send more invitations","Vous de pouvez envoyer plus d'invitations"
"Your invitation is not valid. Please contact us at %s.","Votre invitation n'est pas valide. Merci de nous contacter au %s."
"Your invitation is not valid. Please create an account.","Votre invitation n'est pas valide. Merci de créer un compte."
