"Gift Registry","Registre de cadeaux"
"Gift Registry Entity","Entité Registre de cadeaux"
"Gift Registry ID","Identification Registre de cadeaux"
"Gift Registry ID Search","Recherche identité Registre de cadeaux"
"Gift Registry Info","Infos Registre de cadeaux"
"Gift Registry Items","Articles Registre de cadeaux"
"Gift Registry Items Updated","Articles mis à jour dans Registre de cadeaux"
"Gift Registry Owner Notification","Notification au propriétaire du Registre de cadeaux"
"Gift Registry Properties","Propriétés du Registre de cadeaux"
"Gift Registry Quick Search Form","Formulaire de recherche rapide du Registre de cadeaux"
"Gift Registry Search","Recherche de Registre de cadeaux"
"Gift Registry Section","Section du Registre de cadeaux"
"Gift Registry Sharing","Partage du Registre de cadeaux"
"Gift Registry Type","Type du Registre de cadeaux"
"Gift Registry Update","Mise à jour du Registre de cadeaux"
"Gift Registry has no items.","Registre de cadeaux n'a pas d'articles."
"Gift registry has been deleted.","Registre de cadeaux a été effacé."
"Gift registry items have been updated.","Les articles du Registre de cadeaux ont été mis à jour."
"Go","Aller"
"ID","Identification"
"Inactive","Inactif"
"Incorrect Type.","Type incorrect."
"Incorrect address selected.","Adresse sélectionnée incorrecte."
"Incorrect gift registry type.","Type de registre de cadeau incorrect."
"Incorrect recipient data.","Données destinataire incorrectes."
"Input Type","Type d'entrée"
"Invalid item option format.","Format d'option d'objet invalide."
"Invalid product for adding item to quote.","Produit invalide pour ajouter au devis."
"Is Default","est par défaut"
"Is Listed","est listé"
"Is Public","est public"
"Is Required","est requis"
"Is Searcheable","est interrogeable"
"Items Fulfilled","Articles comblés"
"Items Remaining","Articles restant"
"Label","Label"
"Last Name","Nom"
"Last Name:","Nom:"
"Location","Lieu"
"Long","Long"
"Manage Customers","Gérer clients"
"Manage Gift Registry Types","Gérer types de Registres de cadeaux"
"Manage Items","Gérer articles"
"Max Emails Allowed to be Sent at One Time","Maximum de courriels autorisés à être envoyés en même temps"
"Max Recipients Limit","Nombre limite de destinataires"
"Maximum %d email addresses allowed.","Maximum %d adresses courriel permises."
"Maximum %d recipients allowed.","Maximum %d destinataires autorisés."
"Medium","Moyen"
"Message","Message"
"Message:","Message:"
"My Wishlist","Ma liste de vœux"
"Name","Nom"
"Name:","Nom:"
"New Address","Nouvelle adresse"
"New Gift Registry Type","Nouveau type de Registre de cadeaux"
"New Type","Nouveau type"
"Next","Suivant"
"No","Non"
"No address selected.","Pas d'adresse sélectionnée"
"None","Aucune"
"Note","Note"
"Nothing to add to gift registry.","Rien à ajouter au Registre de cadeaux"
"Out of stock","N'est pas en stock"
"Owner","Propriétaire"
"Owner Notification","Notification au propriétaire"
"Please Select","Veuillez sélectionner"
"Please add rows to option.","Veuillez ajouter des rangées à l'option."
"Please enter at least 2 letters of the first name.","Veuillez entrer au moins deux lettres du prénom."
"Please enter at least 2 letters of the last name.","Veuillez entrer au moins deux lettres du nom."
"Please enter at least 2 letters.","Veuillez entrer au moins deux lettres."
"Please enter correct ""%s"".","Veuillez entrer un ""%s"" correct."
"Please enter the ""%s"".","Veuillez entrer le ""%s"""
"Please enter valid email addresses, separated by comma.","Veuillez entrer des adresses courriel valides, séparées par des virgules."
"Please input a valid email address.","Veuillez entrer une adresse courriel valide."
"Please select gift registry type","Veuillez sélectionner un type de Registre de cadeaux"
"Please select region, state or province","Veuillez sélectionner une région, un département ou province."
"Please specify at least one email.","Veuillez spécifier au moins un courriel."
"Please specify correct search options.","Veuillez spécifier de correctes options de recherche."
"Please specify gift registry ID.","Veuillez spécifier l'identification du Registre de cadeaux."
"Please specify the quantity of items that you want to add to cart.","Veuillez spécifier la quantité d'articles que vous voulez ajouter au caddy."
"Please use different input type for this code.","Veuillez utiliser un type d'entrée différent pour ce code."
"Please wait, loading...","Veuillez patienter, chargement en cours..."
"Price","Prix"
"Privacy Settings","Paramètres de vie privée"
"Private","Privé"
"Product","Produit"
"Product ID","Identification produit"
"Product Name","Nom du produit"
"Product SKU","UGS produit"
"Public","Public"
"Qty","Qté"
"Qty Fulfilled","Qté comblée"
"Qty:","Qté:"
"Quantity","Quantité"
"Quick Search Form Types","Types de formulaire de recherche rapide"
"RSS Feed","Flux RSS"
"Recipient","Destinataire"
"Recipient Email","Destinataire courriel"
"Recipient Email Search","Recherche destinataire courriel"
"Recipient Name Search","Recherche nom destinataire"
"Recipient:","Destinataire:"
"Recipients","Destinataires"
"Recipients Information","Infos destinataires"
"Registry owner","Propriétaire Registre"
"Remaining","Restant"
"Remaining Quantity","Quantité restante"
"Remove","Enlever"
"Remove Email","Enlever courriel"
"Remove Item","Enlever article"
"Remove item","Supprimer l'objet"
"Requested","Requis"
"Requested Quantity","Quantité requise"
"Role","Rôle"
"Save","Sauvegarder"
"Save and Continue Edit","Sauvegarder et continuer à changer"
"Search","Recherche"
"Search By","Recherche par"
"Search Options","Options de recherche"
"Search Results","Résultats de recherche"
"Select","Sélectionner"
"Select Gift Registry","Sélectionner Registre de cadeaux"
"Select Search Type","Sélectionner type de recherche"
"Select a shipping address from your address book or enter a new address.","Sélectionner une adresse d'envoi sur votre carnet d'adresses ou entrer une nouvelle adresse"
"Send From","Envoyer de"
"Sender:","Expéditeur:"
"Share","Partager"
"Share '%s' Gift Registry","Partage le registre de cadeaux ""%s"""
"Share Gift Registry","Partager Registre de cadeaux"
"Share Wishlist","Partager liste de vœux"
"Sharing Information","Partager infos"
"Ship to recipient's address.","Envoyer à l'adresse du destinataire."
"Ship to recipient\'s address","Envoyer à l'adresse\ du destinataire."
"Shipping Address","Adresse d'envoi"
"Shopping Cart Items","Articles du caddy"
"Shopping cart items have been added to gift registry.","Articles du caddy ont été ajoutés au Registre de cadeaux."
"Short","Court"
"Show Region","Montrer département"
"Sort Order","Ordre de tri"
"State/Province","État/province"
"Static Types","Types statiques"
"Status","État"
"Street Address","Rue"
"Street Address %s","Rue %s"
"Telephone","Téléphone"
"Text","Texte"
"The gift registry entity has been deleted.","L'entité Registre de cadeaux a été effacée."
"The gift registry has been shared for %d emails.","Le Registre de cadeaux a été partagé pour %d courriels."
"The gift registry items have been updated.","Les articles du Registre de cadeaux ont été mis à jour."
"The gift registry type has been deleted.","Le type de Registre de cadeaux a été effacé."
"The gift registry type has been saved.","Le type de Registre de cadeaux a été sauvegardé."
"There are no created gift registries yet.","Des Registres de cadeaux n'ont pas encore été créés."
"There is no active gift registries.","Il n'y a pas de Registres de cadeaux actifs."
"This product(s) is currently out of stock.","Ce(s) produit(s) n'est(ne sont) actuellement pas en stock."
"To","A"
"To make search results narrower, specify gift registry type prior to searching. By default, all registry types are searched.","Pour diminuer les résultats de la recherche, spécifier le type de Registre de cadeaux avant la recherche. Par défaut, tous les types de registres sont inclus."
"Total","Total"
"Total Fulfilled Quantity","Quantité totale comblée"
"Total Items","Ensemble des articles"
"Type","Type"
"Type Specific Options","Options spécifiques de type"
"Unit Price","Prix de l'unité"
"Update Gift Registry","Mise à jour du Registre de cadeaux"
"Update Items and Qty\'s","Mise à jour des articles et Qté\"
"Update Qty","Mise à jour Qté"
"Update Wishlist","Mise à jour liste de vœux"
"Use Default Value","Utiliser valeur par défaut"
"Use gift registry shipping address","Utiliser l'adresse d'envoi du Registre de cadeaux"
"View","Voir"
"Virtual, Downloadable, and virtual Gift Card products cannot be added to gift registries.","Les produits virtuels, téléchargeables, et cartes de cadeaux virtuelles ne peuvent être ajoutés aux Registres de cadeaux."
"Website","Site internet"
"Wishlist item have been added to gift registry.","L'article de la liste de vœux a été ajouté au Registre de cadeaux."
"Wrong gift registry ID specified.","Mauvais identifiant de registre de cadeaux"
"Wrong gift registry entity requested.","Mauvaise entité de Registre de cadeaux demandée."
"Wrong gift registry item ID specified.","Mauvais objet du registre des cadeaux spécifié."
"Wrong gift registry type requested.","Mauvais type de Registre de cadeaux demandé."
"Yes","Oui"
"You have no items in your wishlist.","Vous n'avez pas d'articles dans votre liste de vœux"
"Your search returned no results.","Votre recherche n'a retourné aucun résultat."
"Your search returns no results.","Votre recherche ne retourne aucun résultat."
"Zip/Postal Code","Code postal"
"Gift Registry has been successfully saved.","Registre de cadeaux sauvegardé."
