"* Required Fields","* Pflichtfelder"
"Store Credit","Store Credit"
"Store View","Store View"
"Street Address","Adresse"
"Submit","Abschicken"
"System","System"
"System form type cannot be deleted.","System Formattyp kann nicht gelöscht werden"
"Telephone","Telefon"
"The customer address attribute has been deleted.","Das Kundenadressenattribut wurde gelöscht."
"The customer address attribute has been saved.","Das Kundenadressenattribut wurde gespeichert."
"The customer attribute has been deleted.","Das Kundenattribut wurde gelöscht."
"The customer attribute has been saved.","Das Kundenattribut wurde gespeichert."
"This is My Default %s Address","Das ist meine Standard %s Adresse"
"To use this attribute in address template you should edit it here.","Um diese Einstellung in der Adressvorlage zu benutzen, sollten Sie es hier bearbeiten."
"Use Store Credit (%s available)","Store Credit verwenden (%s verfügbar)"
"Use as My Default %s Address","Als meine Standard %s Adresse verwenden"
"Use as my default billing address","Als meine Standard Rechnungsadresse verwenden"
"Use as my default shipping address","Als meine Standard Lieferadresse verwenden"
"Use helper with defined EAV entity","Helfer mit definierter EAV-Entity verwenden"
"Valid range 2-20","Gültiger Bereich 2-20"
"Visible on Frontend","Am Frontend sichtbar"
"YYYY","YYYY"
"Year","Jahr"
"Yes","Ja"
"You are currently not subscribed to any newsletter.","Sie haben derzeit keinen Newsletter aboniert."
"You are currently subscribed to 'General Subscription'.","Sie haben derzeit 'Allgemeines Abonoment' aboniert."
"You are currently subscribed to our newsletter.","Sie haben derzeit unseren Newsletter aboniert."
"You cannot delete this attribute.","Sie können dieses Attribut nicht löschen."
"You cannot edit this attribute.","Sie können dieses Attribut nicht bearbeiten."
"You have no additional address entries in your address book.","Sie haben keine zusätzlichen Adresseinträge in Ihrem Adressbuch."
"You have no default billing address in your address book.","Sie haben keine Standard Rechnungsadresse in Ihrem Adressbuch."
"You have no default shipping address in your address book.","Sie haben keine Standard Lieferadresse in Ihrem Adressbuch."
"Zip/Postal Code","Postleitzahl"
