"%d email(s) were sent.","%d emails foram enviados."
"Enable Gift Registry","Habilitar Registro de Presente"
"Enter at least two letters","Digite pelo menos duas letras"
"Enter at least two letters of the name","Digite pelo menos duas letras do nome"
"Event","Evento"
"Event Country","País do evento"
"Event Date","Data do evento"
"Event Information","Informações do evento"
"Event Location","Local do evento"
"Event Region Id","Id da região do evento"
"Event Region Text","Texto da região do evento"
"Failed to add shopping cart items to gift registry.","Erro ao adicionar itens do carrinho de compras ao registro de presentes."
"Failed to add wishlist items to gift registry.","Erro ao adicionar itens da lista de presentes ao registro de presentes."
"Failed to delete gift registry entity.","Erro ao excluir a entidade do registro de presente."
"Failed to delete gift registry type.","Erro ao excluir o tipo de registro de presente."
"Failed to save gift registry type.","Erro ao salvar o tipo de registro de presente."
"Failed to save gift registry.","Erro ao salvar o registro de presente."
"Failed to send %1$d of %2$d email(s).","Erro ao enviar %1$d de %2$d e-mail(s)."
"Failed to share gift registry.","Erro ao compartilhar o registro de presente."
"Failed to update gift registry items list.","Erro ao atualizar a lista de itens do registro de presente."
"Failed to update gift registry items.","Erro ao atualizar os itens do registro de presentes."
"Fax","Fax"
"First Name","Primeiro nome"
"First Name:","Primeiro nome:"
"From","De"
"Fulfilled","Preenchida"
"Fulfilled Quantity","Quantidade preenchida"
"Full","Completa"
"General Information","Informações gerais"
"General Options","Opções gerais"
"Gift Registry","Registro de presente"
"Gift Registry Entity","Entidade do registro de presente"
"Gift Registry ID","ID de registro de presente"
"Gift Registry ID Search","Pesquisa de ID de registro de presente"
"Gift Registry Info","Informações de registro de presente"
"Gift Registry Items","Itens de registro de presente"
"Gift Registry Items Updated","Itens de registro de presente atualizados"
"Gift Registry Owner Notification","Notificação de proprietário de registro de presente"
"Gift Registry Properties","Propriedade de registro de presente"
"Gift Registry Quick Search Form","Formulário de pesquisa rápida de registro de presente"
"Gift Registry Search","Pesquisa de registro de presente"
"Gift Registry Section","Seção de registro de presente"
"Gift Registry Sharing","Compartilhamento de registro de presente"
"Gift Registry Type","Tipo de registro de presente"
"Gift Registry Update","Atualização de registro de presente"
"Gift Registry has no items.","Nenhum item encontrado no registro de presente."
"Gift registry has been deleted.","O registro de presente foi excluído."
"Gift registry has been successfully saved.","Registro de presente foi salvo com sucesso."
"Gift registry items have been updated.","Os itens do registro de presente foram atualizados."
"Go","Ir"
"ID","Identidade"
"Inactive","Inativo"
"Incorrect Type.","Tipo incorreto"
"Incorrect address selected.","Endereço selecionado incorreto."
"Incorrect gift registry type.","Tipo de registro de presente incorreto."
"Incorrect recipient data.","Dados incorretos de destinatário."
"Input Type","Tipo de entrada"
"Invalid item option format.","Formato de opção de item inválido."
"Invalid product for adding item to quote.","Produto inválido para adicionar item a cotação."
"Is Default","É padrão"
"Is Listed","É listado"
"Is Public","É público"
"Is Required","É obrigatório"
"Is Searcheable","Pode ser pesquisado"
"Items Fulfilled","Itens concluídos"
"Items Remaining","Itens restantes"
"Label","Etiqueta"
"Last Name","Último nome"
"Last Name:","Último nome:"
"Location","Local"
"Long","Longo"
"Manage Customers","Gerenciar clientes"
"Manage Gift Registry Types","Gerenciar tipo de registro de presente"
"Manage Items","Gerenciar itens"
"Max Emails Allowed to be Sent at One Time","Máximo de e-mail que podem ser enviados de uma só vez"
"Max Recipients Limit","Limite máximo de destinatários"
"Maximum %d email addresses allowed.","Só são permitidos %s endereços de e-mail."
"Maximum %d recipients allowed.","Só são permitidos %d destinatários."
"Medium","Médio"
"Message","Mensagem"
"Message:","Mensagem:"
"My Wishlist","Minha lista de presentes"
"Name","Nome"
"Name:","Nome:"
"New Address","Novo Endereço"
"New Gift Registry Type","Novo Tipo de Registro de Prenda"
"New Type","Novo Tipo"
"Next","Próximo"
"No","Não"
"No address selected.","Nenhum endereço selecionado."
"None","Nenhum"
"Note","Nota"
"Nothing to add to gift registry.","Nada a adicionar ao registro de prenda."
"Out of stock","Fora de estoque"
"Owner","Proprietário"
"Owner Notification","Notificação de Proprietário"
"Please Select","Por Favor Selecione"
"Please add rows to option.","Por favor adicione linhas à opção."
"Please enter at least 2 letters of the first name.","Por favor insira pelo menos duas letras do primeiro nome."
"Please enter at least 2 letters of the last name.","Por favor insira pelo menos duas letras do último nome."
"Please enter at least 2 letters.","Por favor insira pelo menos duas letras."
"Please enter correct ""%s"".","Por favor insira ""%s"" correta."
"Please enter the ""%s"".","Por favor insira o ""%s""."
"Please enter valid email addresses, separated by comma.","Por favor insira endereços de email válidos, separadas por vírgula."
"Please input a valid email address.","Por favor coloque um email válido."
"Please select gift registry type","Por favor selecione o tipo de registro de prenda"
"Please select region, state or province","Selecione a região, estado ou província"
"Please specify at least one email.","Por favor especifique pelo menos um email."
"Please specify correct search options.","Por favor especifique opções corretas de pesquisa."
"Please specify gift registry ID.","Por favor especifique ID de registro de prenda."
"Please specify the quantity of items that you want to add to cart.","Por favor especifique a quantidade de itens que você deseja adicionar ao carrinho."
"Please use different input type for this code.","Por favor use tipo de entrada diferente para este código."
"Please wait, loading...","Por favor aguarde, carregando..."
"Price","Preço"
"Privacy Settings","Configurações de Privacidade"
"Private","Privado"
"Product","Produto"
"Product ID","ID do Produto"
"Product Name","Nome do produto"
"Product SKU","SKU do Produto"
"Public","Público"
"Qty","Quant."
"Qty Fulfilled","Quantidade Cumprida"
"Qty:","Quantidade:"
"Quantity","Quantidade"
"Quick Search Form Types","Tipos de Formulário de Pesquisa Rápida"
"RSS Feed","Lista RSS"
"Recipient","Destinatário"
"Recipient Email","E-mail do destinatário"
"Recipient Email Search","Pesquisa do Email do Destinatário"
"Recipient Name Search","Pesquisa do Nome do Destinatário"
"Recipient:","Destinatário:"
"Recipients","Destinatários"
"Recipients Information","Informação do Destinatário"
"Registry owner","Proprietário do registro"
"Remaining","Restante"
"Remaining Quantity","Quantidade Restante"
"Remove","Remover"
"Remove Email","Remover Email"
"Remove Item","Remover Item"
"Remove item","Remover item"
"Requested","Pedido"
"Requested Quantity","Quantidade Pedida"
"Role","Papel"
"Save","Salvar"
"Save and Continue Edit","Salvar e continuar a editar"
"Search","Pesquisa"
"Search By","Pesquisar Por"
"Search Options","Opções de Pesquisa"
"Search Results","Resultados de Pesquisa"
"Select","Selecione"
"Select Gift Registry","Selecione Registro de Prenda"
"Select Search Type","Selecione Tipo de Pesquisa"
"Select a shipping address from your address book or enter a new address.","Selecione um endereço para envio do seu livro de endereços ou insira um novo endereço."
"Send From","Enviar De"
"Sender:","Remetente:"
"Share","Compartilhar"
"Share '%s' Gift Registry","Compartilhar ""%s"" Registros de Prenda"
"Share Gift Registry","Compartilhar Registro de Prenda"
"Share Wishlist","Compartilhar Lista de Desejos"
"Sharing Information","Compartilhando Informação"
"Ship to recipient's address.","Enviar para o endereço do destinatário."
"Ship to recipient\'s address","Enviar para o endereço do destinatário."
"Shipping Address","Endereço de Envio"
"Shopping Cart Items","Itens do carrinho de compras"
"Shopping cart items have been added to gift registry.","Itens do carrinho de compras foram adicionados ao registro de prenda."
"Short","Pequeno"
"Show Region","Mostrar Região"
"Sort Order","Classificar pedido"
"State/Province","Estado/Província"
"Static Types","Tipos Estáticos"
"Status","Status"
"Street Address","Endereço da Rua"
"Street Address %s","Endereço da Rua %s"
"Telephone","Telefone"
"Text","Texto"
"The gift registry entity has been deleted.","A entidade do registro de prenda foi apagada."
"The gift registry has been shared for %d emails.","O registro de prenda foi compartilhado para %d emails."
"The gift registry items have been updated.","Os itens de registro de prenda foram atualizados."
"The gift registry type has been deleted.","O tipo de registro de prenda foi eliminado."
"The gift registry type has been saved.","O tipo de registro de prenda foi salvo."
"There are no created gift registries yet.","Não há ainda registros de prenda criados."
"There is no active gift registries.","Não há registros de prenda ativos."
"This product(s) is currently out of stock.","Este(s) produto(s) está fora de estoque."
"To","Para"
"To make search results narrower, specify gift registry type prior to searching. By default, all registry types are searched.","Para tornar os resultados da pesquisa mais precisos, especifique o tipo de registro de prenda antes de pesquisar. Por defeito, todos os tipos de registro são pesquisados."
"Total","Total"
"Total Fulfilled Quantity","Quantidade Total Cumprida"
"Total Items","Total de Itens"
"Type","Tipo"
"Type Specific Options","Opções Específicas de Tipo"
"Unit Price","Preço Unitário"
"Update Gift Registry","Atualizar Registro de Prenda"
"Update Items and Qty\'s","Atualizar Itens e Quantidades"
"Update Qty","Atualizar Quantidade"
"Update Wishlist","Atualizar Lista de Desejos"
"Use Default Value","Utilizar valor padrão"
"Use gift registry shipping address","Usar endereço de entrega do registro de prenda"
"View","Ver"
"Virtual, Downloadable, and virtual Gift Card products cannot be added to gift registries.","Produtos Virtuais, para Baixar e Cartão de Prenda virtual não podem ser adicionados a registros de prenda."
"Website","Website"
"Wishlist item have been added to gift registry.","Item de sua lista de desejos foi adicionado ao registro de prenda."
"Wrong gift registry ID specified.","ID de registro de prenda especificado errado."
"Wrong gift registry entity requested.","Entidade de registro de prenda solicitada errada."
"Wrong gift registry item ID specified.","ID de registro de item de prenda especificado errado."
"Wrong gift registry type requested.","Tipo de registro de prenda solicitado errado."
"Yes","Sim"
"You have no items in your wishlist.","Você não tem itens na sua lista de desejos."
"Your search returned no results.","Sua busca não retornou resultados."
"Your search returns no results.","Sua busca não retornou resultados."
"Zip/Postal Code","Zip/Código Postal"
