"(Staging Copy)","(Cópia de Teste)"
"Frontend Restriction","Principais restrições"
"General Information","Informações gerais"
"Gift Cards","Cartões Oferta"
"HTTP Login","Login HTTP"
"HTTP Password","Senha HTTP"
"ID","Identidade"
"If no store view mapping is specified, only website-related information will be merged.","Caso nenhuma visualização de mapeamento de loja for especificada, apenas informações relacionadas ao site serão integradas"
"Incorrect ID","ID incorreto"
"Instant Merger","Integração instantanea"
"Item model ""%s"" is not under backup","O modelo do item ""%s"" não está sob backup"
"Items","Itens"
"Items to Copy","Itens a serem copiados"
"Landing Page","Página de entrada"
"Latest Event","Último evento"
"Log","Registro"
"Log Entry","Entrada de registro"
"Logged At","Registrado em"
"Master Store Code","Código de cadastro da loja"
"Master Store ID","ID de cadastro da loja"
"Master Website","Site de cadastro"
"Master Website Code","Código de cadastro do site"
"Master Website ID","ID de cadastro do site"
"Merge","Integrar"
"Merge Now","Integrar agora"
"Merge...","Integrar..."
"Merger Scheduling","Programação de integração"
"Merger Unscheduling","Desprogramação de integração"
"Merging","Integrando"
"New Staging","Nova apresentação"
"No","Não"
"No information","Nenhuma informação"
"No information available.","Nenhuma informação disponível"
"Not accessible","Não acessível"
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Por favor certifique-se que o URL Base termina com '/' (barra), por exemplo http://yourdomain/magento/"
"Please make sure that Base URL ends with '/' (slash), e.g. https://yourdomain/magento/","Por favor certifique-se que o URL Base termina com '/' (barra), por exemplo, https://yourdomain/magento/"
"Please make sure that folder %s exists and is writeable.","Por favor certifique-se que a pasta %s existe e é gravável"
"Please, select a store view","Por favor, selecione uma visão de loja"
"Polls","Pesquisas"
"Processing","Processando"
"Ready","Pronto"
"Remove","Remover"
"Require HTTP Authentication","Requer Autenticação HTTP"
"Reset","Redefinir"
"Reset Status","Estado de Redefinição"
"Result","Resultado"
"Rollback","Reversão"
"Sales","Vendas"
"Save","Salvar"
"Schedule Date","Agendar Data"
"Schedule Merge","Agendar Fusão"
"Scheduled Merger","Fusão Agendada"
"Secure Base URL","URL Base Segura"
"Secure Base Url","Url Base Segura"
"Select Items to be Merged","Selecionar Itens a serem Fundidos"
"Select Original Website Content to be Copied to the Staging Website","Selecione Conteúdo do Site Original a ser Copiado para o Teste de Site"
"Select Original Website Store Views to be Copied to Staging Website","Selecione Visões do Site Original a serem Copiados para o Teste de Site"
"Select website to map","Selecione sítio Web para mapear"
"Set Staging Merge Date","Definir Data de Fusão de Teste"
"Settings","Configurações"
"Shopping Cart Price Rules","Regras de Preços de Carrinho de Compras"
"Source Website","Site de Origem"
"Staging Merge Schedule Configuration","Configuração de Agendamento de Fusão da Plataforma"
"Staging Operations Log","Log de Operações da Plataforma"
"Staging Store Code","Código de Armazenamento da Plataforma"
"Staging Store Name","Nome do Armazenamento da Plataforma"
"Staging Store: ","Armazenamento da Plataforma:"
"Staging Table ""%s"" and Master Tables ""%s"" has different fields","Tabela da Plataforma ""%s"" e Tabelas Mestre ""%s"" tem campos diferentes"
"Staging Table %s does not exist","Tabela da Plataforma  %s não existe"
"Staging Type","Tipo de Plataforma"
"Staging Website","Plataforma do Site"
"Staging Website - Merge Configuration","Plataforma do Site - Configuração de Fusão"
"Staging Website Code","Código da Plataforma do Site"
"Staging Website Creation","Criação da Plataforma do Site"
"Staging Website Id","Id da Plataforma do Site"
"Staging Website Information","Informação sobre a Plataforma do Site"
"Staging Website Name","Nome da Plataforma do Site"
"Staging Website Settings","Configurações da Plataforma do Site"
"Staging Website: ","Plataforma do Site:"
"Staging Websites","Plataforma dos Sites"
"Staging has been unscheduled.","Movimentação de dados desprogramada."
"Started","Iniciada"
"Status","Status"
"Status Reset","Redefinir Status"
"Store View Mapping","Mapeamento de Vistas de Loja"
"Store Views to Copy","Vistas de Loja para Copiar"
"Store: ","Loja:"
"System","Sistema"
"System Configuration","Configuração de Sistema"
"Table Prefix","Prefixo de Tabela"
"Tags","Marcas"
"Target","Objetivo"
"Terms And Conditions","Termos e Condições"
"The base URL for this website will be created automatically.","O URL de base para este site será criado automaticamente."
"The master website has been restored.","O site principal foi restaurado."
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.","A senha deve ter pelo menos 6 caracteres. Espaços à esquerda ou à direita serão ignorados."
"The staging Website ""%s"" cannot be merged at this moment.","O site de teste ""%s"" não pode ser fundido neste momento."
"The staging website has been created.","O site de teste foi criado."
"The staging website has been merged.","O site de teste foi fundido."
"The staging website has been saved.","O site de teste foi salvo."
"The staging website has been scheduled to merge.","O site de teste foi agendado para se fundir."
"There are no items selected for rollback.","Não há itens selecionados para reversão."
"There are no store views for copying.","Não há vistas de loja a copiar."
"There are no store views to be copied.","Não há vistas de loja a serem copiadas."
"There is wrong value in configuration for entry points folder name.","Há um valor errado na configuração do nome de pasta para pontos de entrada."
"There was no mapping defined for store views.","Não houve mapeamento definido para vistas de loja."
"This backup is read-only, because a merge or a rollback is in progress.","Esse backup é somente de leitura, porque uma fusão ou uma reversão está em andamento."
"To","Para"
"To create entry points, the folder %s must be writeable.","Para criar pontos de entrada, a pasta %s deve ser gravável."
"URL","URL"
"URL Rewrites","Reescrituras de URL"
"Unschedule","Desfazer Agendamento"
"Unschedule Merge","Desfazer Agendamento de Integração"
"Updated At","Atualizado Em"
"Use All","Utilizar Todos"
"Visitor Logs","Registros de Visitante"
"Website","Website"
"Website From","Website De"
"Website Mapping","Mapeamento de Website"
"Website Name","Nome do Website"
"Website To","Website Para"
"Website code is not defined.","Código do website não definido."
"Website: ","Website:"
"Websites Backup Information","Informações de Cópia de Segurança dos Websites"
"Wishlist","Lista de presentes"
"Wrong item resource adapter model.","Modelo de adaptador de recursos de itens incorreto."
"[deleted]","[excluído]"
"available","disponível"
"click here","clique aqui"
"ok","ok"
"or","ou"
"unknown item","item desconhecido"
"version mismatch","incompatibilidade de versão"
