"%s; rev #%s","%s; rev #%s"
"Access Level","Nível de acesso"
"Unordered","Não ordenada"
"Update","Atualizar"
"Upper Alpha (A, B, C, ...)","Alfa Superior (A, B, C,...)"
"Upper Roman (I, II, III, ...)","Romana Superior (I, II, III,...)"
"Use Parent","Uso Parental"
"Use default","Use padrão"
"Version ""%s"" could not be removed because it is the last public version for its page.","Versão ""%s"" não pôde ser removida porque esta é a última versão pública de sua página."
"Version ""%s"" could not be removed because its revision has been published.","Versão ""%s"" não pôde ser removida porque a sua revisão foi publicada."
"Version #","Versão #"
"Version Control","Controle de Versão"
"Version Information","Informações da versão"
"Version Label","Marca da versão"
"Version Revisions","Revisões da versão"
"Version:","Versão:"
"Versions","Versões"
"Website Root","Raiz do website"
"Yes","Sim"
"You should specify valid name","Você deve especificar um nome válido"
"[No Owner]","[Nenhum proprietário]"
