"(Staging Copy)","(Start kopie)"
"Entry point will be built using the staging website code.","Ingangspunt zal gebouwd worden met gebruik van de start-website code."
"Export to:","Exporteren naar:"
"Failed to unschedule merge.","Heeft de samenvoegoperatie niet van het rooster af kunnen halen."
"Folder Name for Entry Points","Naam map voor ingangspunten"
"From","Van"
"Frontend Restriction","Frontend restrictie"
"General Information","Generale informatie"
"Gift Cards","Cadeaukaarten"
"HTTP Login","HTTP Login"
"HTTP Password","HTTP Wachtwoord"
"ID","identiteit"
"If no store view mapping is specified, only website-related information will be merged.","Indien geen winkelweergave map is gespecificeerd, zal alleen website-gerelateerde informatie samengevoegd worden."
"Incorrect ID","Incorrecte ID"
"Instant Merger","Directe Samenvoeger"
"Item model ""%s"" is not under backup","Artikel model ""%s"" is niet onder backup"
"Items","Artikelen"
"Items to Copy","Te kopiëren artikelen"
"Landing Page","Landingspagina"
"Latest Event","Laatste gebeurtenis"
"Log","Logboek"
"Log Entry","Logboek aantekening"
"Logged At","Vastgelegd op"
"Master Store Code","Hoofd Winkel Code"
"Master Store ID","Hoofd Winkel ID"
"Master Website","Hoofd Website"
"Master Website Code","Hoof Website Code"
"Master Website ID","Hoofd Website ID"
"Merge","Samenvoegen"
"Merge Now","Nu Samenvoegen"
"Merge...","Samenvoegen..."
"Merger Scheduling","Samenvoeger Plannen"
"Merger Unscheduling","Samenvoeger uit de Planning halen"
"Merging","Samenvoegen"
"New Staging","Nieuwe Staging"
"No","Nee"
"No information","Geen informatie"
"No information available.","Geen informatie beschikbaar."
"Not accessible","Niet toegankelijk"
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Zorg ervoor dat de Basis URL eindigt op een ""/"" (schuine streep), bijv. http://uwdomein/magento/"
"Please make sure that Base URL ends with '/' (slash), e.g. https://yourdomain/magento/","Zorg ervoor dat de Basis URL eindigt op een ""/"" (schuine streep), bijv. https://uwdomein/magento/"
"Please make sure that folder %s exists and is writeable.","Verzeker u er a.u.b. van dat de map %s bestaat en schrijfbaar is."
"Please, select a store view","Selecteer een winkelbeeld, alstublieft"
"Polls","Opiniepeilingen"
"Processing","Verwerken"
"Ready","Gereed"
"Remove","weghalen"
"Require HTTP Authentication","HTTP Authenticatie nodig"
"Reset","Herstellen"
"Reset Status","Herstellen Status"
"Result","Resultaat"
"Rollback","Terugdraaien"
"Sales","Verkoop"
"Save","Sla op"
"Schedule Date","Plannen Datum"
"Schedule Merge","Plannen Samenvoeging"
"Scheduled Merger","Geplande Samenvoeger"
"Secure Base URL","Beveiligde Basis Url"
"Secure Base Url","Secure Base Url"
"Select Items to be Merged","Selecteer artikelen om samen te voegen"
"Select Original Website Content to be Copied to the Staging Website","Selecteer Originele Website Inhoud om te Kopiëren naar de Staging Website"
"Select Original Website Store Views to be Copied to Staging Website","Selecteer Originele Website Winkel Views om te Kopiëren naar de Staging Website"
"Select website to map","Selecteer website om te in kaart te brengen"
"Set Staging Merge Date","Instellen Staging Samenvoegingsdatum"
"Settings","Instellingen"
"Shopping Cart Price Rules","Winkelwagen Prijs Reglement"
"Source Website","Bron Website"
"Staging Merge Schedule Configuration","Test schema instellingen samenvoegen"
"Staging Operations Log","Testoperaties logboek"
"Staging Store Code","Testcode opslaan"
"Staging Store Name","Testwinkel naam"
"Staging Store: ","Testwinkel:"
"Staging Table ""%s"" and Master Tables ""%s"" has different fields","Voorgehouden tabel ""%s"" en master tabellen ""%s"" hebben verschillende velden"
"Staging Table %s does not exist","Testwinkel %s bestaat niet"
"Staging Type","Testtype"
"Staging Website","Testwebsite"
"Staging Website - Merge Configuration","Testwebsite - instellingen samenvoegen"
"Staging Website Code","Test website code"
"Staging Website Creation","Testwebsite aanmaken"
"Staging Website Id","Id testwebsite"
"Staging Website Information","Informatie testwebsite"
"Staging Website Name","Naam testwebsite"
"Staging Website Settings","Testwebsite instellingen"
"Staging Website: ","Testwebsite"
"Staging Websites","Testwebsites"
"Staging has been unscheduled.","Testen van het schema afgehaald."
"Started","Gestart"
"Status","status"
"Status Reset","Status reset"
"Store View Mapping","Bewaar view mapping"
"Store Views to Copy","Winkel views om op te kopiëren"
"Store: ","Winkel"
"System","systeem"
"System Configuration","Systeemconfiguratie"
"Table Prefix","tabel prefix"
"Tags","tags"
"Target","Doel"
"Terms And Conditions","voorwaarden"
"The base URL for this website will be created automatically.","De basis-URL voor deze website zal automatisch aangemaakt worden."
"The master website has been restored.","The hoofdwebsite is gerepareerd"
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.","Het wachtwoord moet op zijn minst 6 tekens bevatten. Spaties worden genegeerd"
"The staging Website ""%s"" cannot be merged at this moment.","De voorgehouden website ""%s"" kan niet samengevoegd worden op dit moment."
"The staging website has been created.","De voorgehouden website is aangemaakt"
"The staging website has been merged.","De voorgehouden website is samengevoegd"
"The staging website has been saved.","De voorgehouden website is opgeslagen"
"The staging website has been scheduled to merge.","De voorgehouden website staat in de wacht op samengevoegd te worden"
"There are no items selected for rollback.","Er zijn geen items geselecteerd voor rollback"
"There are no store views for copying.","Er zijn geen store views om te kopiëren."
"There are no store views to be copied.","Er zijn geen winkel views die gekopieerd moeten worden."
"There is wrong value in configuration for entry points folder name.","Er is een verkeerde waarde in de configuratie voor de mapnaam van de entry point."
"There was no mapping defined for store views.","Er was geen mapping gedefinieerd voor store views."
"This backup is read-only, because a merge or a rollback is in progress.","Deze back-up is alleen lezen, omdat een samenvoeging of rollback wordt uitgevoerd."
"To","Aan"
"To create entry points, the folder %s must be writeable.","Om ingangspunten te maken, moet de map %s schrijfbaar zijn"
"URL","URL"
"URL Rewrites","Herschreven URL's"
"Unschedule","Verwijder van de planning."
"Unschedule Merge","Verwijder samenvoeging van de planning."
"Updated At","Geüpdate op"
"Use All","Gebruik al"
"Visitor Logs","Bezoeker logs"
"Website","Website"
"Website From","Website van"
"Website Mapping","Website in kaart brengen"
"Website Name","website naam"
"Website To","website naar"
"Website code is not defined.","De broncode is niet opgegeven."
"Website: ","website:"
"Websites Backup Information","Achtergrond informatie voor de website"
"Wishlist","Verlanglijst"
"Wrong item resource adapter model.","Verkeerde adapter model."
"[deleted]","[verwijderd]"
"available","Beschikbaar"
"click here","klik hier"
"ok","ok"
"or","of"
"unknown item","onbekend item"
"version mismatch","Verkeerde versie"
