"%s; rev #%s","%s; rev #%s"
"Access Level","bereikbaarheidsniveau"
"The revision has been deleted.","De modificatie is verwijderd"
"The revision has been published.","De modificatie is gepubliceerd"
"The revision has been saved.","De modificatie is opgeslagen"
"The version has been deleted.","De versie is verwijderd"
"The version has been saved.","De versie is opgeslagen"
"There are unsaved node data. Are you sure you want to proceed?","Er is niet-opgeslagen data. Weet u zeker dat u door wilt gaan?"
"This Page Belongs To","Deze pagina behoort toe aan"
"This Page is locked by '%s'.","Deze pagina is gesloten door '%s'"
"This Page is locked by you.","Deze pagina is gesloten door u"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","Deze pagina kan niet worden toegevoegd, omdat een pagina met dezelfde URL sleutel reeds bestaat"
"This page is currently locked.","Deze pagina is nu gesloten"
"Title","Titel"
"Total of %d record(s) have been deleted","Een totaal van %d rapport(en) is verwijderd"
"Total of %d record(s) have been deleted.","Het totaal aan ... records is weggehaald."
"Tree Viewed","Boom gezien"
"URL Key","URL sleutel"
"Unable to find a revision to delete.","Niet mogelijk om een modificatie te verwijderen"
"Unable to find a version to delete.","Niet mogelijk om een versie te verwijderen"
"Under Version Control","Onder versiecontrole"
"Unlock This Page","Deblokkeer deze pagina"
"Unordered","Niet besteld"
"Update","Ververs"
"Upper Alpha (A, B, C, ...)","Hoofdletters (A, B, C...)"
"Upper Roman (I, II, III, ...)","Romeinse cijfers (I,II, III, ...)"
"Use Parent","Gebruik ouder"
"Use default","Gebruik standaard"
"Version ""%s"" could not be removed because it is the last public version for its page.","Versie ""%s"" kan niet verwijderd worden omdat, het de laatste publieke versie is voor zijn pagina."
"Version ""%s"" could not be removed because its revision has been published.","Versie ""%s"" kan niet verwijderd worden omdat, de revisie gepubliceerd is."
"Version #","Versie #"
"Version Control","Versiecontrole"
"Version Information","Versie infomatie"
"Version Label","Versie label"
"Version Revisions","Versie modificatie"
"Version:","Versie:"
"Versions","Versies"
"Website Root","Website wortel"
"Yes","Ja"
"You should specify valid name","U moet een juiste naam specificeren"
"[No Owner]","[Geen eigenaar]"
