"* Required Fields","* Vereiste Velden"
"General Information","Generale informatie"
"General Subscription","Generale inschrijving"
"Go back","Ga terug"
"Hello, %s!","Hallo, %s!"
"If you have an account with us, log in using your email address.","Als u een rekening bij ons heeft, log dan in met uw e-mail adres"
"Input Type","invoer type"
"Input Validation","invoervalidatie"
"Input/Output Filter","invoer/uitvoer filter"
"Label","label"
"Lines Count","lijn telling"
"Login","log in"
"Login Information","log in informatie"
"Login or Create an Account","log in of creëer een rekening"
"MM","MM"
"Manage Addresses","Beheer adressen"
"Manage Customer Address Attributes","Beheer klant adresgegevens"
"Manage Customer Attributes","Beheer klantgegevens"
"Manage Form Types","Beheer formuliertypes"
"Manage Label / Options","Beheer label / opties"
"Maximum File Size (bytes)","Maximale bestandsgrootte (bytes)"
"Maximum Image Height (px)","Maximale afbeeldingsgrootte (px)"
"Maximum Image Width (px)","Maximale afbeeldingsbreedte (px)"
"Maximum Text Length","Maximale tekstlengte"
"Maximum value","Maximale Waarde"
"Minimal value","Minimale Waarde"
"Minimum Text Length","Minimale tekstlengte"
"Month","maand"
"My Account Wrapper","Mijn Account Wrapper"
"My Dashboard","Mijn overzicht"
"New Address Entry","Nieuwe adresgegevens"
"New Attribute","Nieuw attribuut"
"New Customer Address Attribute","Nieuwe klant adres attribuut"
"New Customer Attribute","Nieuwe klant attribuut"
"New Customers","Nieuwe klanten"
"New Fieldset","Nieuwe veldset"
"New Form Type","Nieuw forumuliertype"
"New Password","Nieuw paswoord"
"Newsletter Subscription","inschrijving op nieuwsbrief"
"Newsletters","nieuwsbrieven"
"No","Nee"
"None","Geen"
"Password","paswoord"
"Personal Information","persoonlijke informatie"
"Please enter your email below and we will send you the confirmation link for it.","Vult u alstublieft uw email adres beneden in en wij zullen u een bevestigingslink sturen."
"Please enter your email below and we\'ll send you a new password.","Vult u alstublieft uw email adres beneden in en wij zullen u een nieuw paswoord sturen"
"Please select region, state or province","Selecteer alstublieft regio, staat of provincie"
"Properties","eigenschappen"
"Register","registreer"
"Registered Customers","geregistreerde klanten"
"Remove","weghalen"
"Save","Sla op"
"Save Address","sla adres op"
"Save Attribute","sla eigenschap op"
"Save Password","sla paswoord op"
"Save and Continue Edit","opslaan en doorgaan met bewerken"
"Send confirmation link","stuur bevestigingslink"
"Show on Frontend","laat zien op voorkant"
"Sign Up for Newsletter","geef u op voor de nieuwsbrief"
"Sort Order","sorteer volgorde"
"State/Province","staat/provincie"
"Store Credit","winkelcrediet"
"Store View","winkelweergave"
"Street Address","woonadres"
"Submit","verzenden"
"System","systeem"
"System form type cannot be deleted.","systeem formuliertype kan niet verwijderd worden"
"Telephone","telefoon"
"The customer address attribute has been deleted.","de eigenschap van het klantenadres is verwijderd"
"The customer address attribute has been saved.","de eigenschap van het klantenadres is opgeslagen"
"The customer attribute has been deleted.","De eigenschap voor klant is verwijderd"
"The customer attribute has been saved.","de eigenschap voor klant is opgeslagen"
"This is My Default %s Address","Dit is mijn standaard %s adres"
"To use this attribute in address template you should edit it here.","Om dit attribuut te gebruiken in een sjabloon moet u het hier bewerken."
"Use Store Credit (%s available)","Gebruik winkelcrediet (%s beschikbaar)"
"Use as My Default %s Address","Gebruik mijn standaard %s adres"
"Use as my default billing address","Gebruik mijn standaard betalingsadres"
"Use as my default shipping address","Gebruik mijn standaard verzendadres"
"Use helper with defined EAV entity","Gebruik helper met gedefinieerde EAV entiteit"
"Valid range 2-20","Geldige waarde 2-20"
"Visible on Frontend","Zichtbaar aan de voorkant"
"YYYY","JJJJ"
"Year","Jaar"
"Yes","Ja"
"You are currently not subscribed to any newsletter.","U bent momenteel niet geabonneerd op de nieuwsbrief"
"You are currently subscribed to 'General Subscription'.","U bent momenteel geabonneerd op 'normale subscriptie'"
"You are currently subscribed to our newsletter.","U bent momenteel geabonneerd op onze nieuwsbrief"
"You cannot delete this attribute.","U kunt dit attribuut niet verwijderen"
"You cannot edit this attribute.","U kunt dit attribuut niet bewerken"
"You have no additional address entries in your address book.","U heeft geen andere adresgegevens in uw adresboek"
"You have no default billing address in your address book.","U heeft geen standaard betalingsadres in uw adresboek"
"You have no default shipping address in your address book.","U heeft geen standaard verzendadres in uw adresboek"
"Zip/Postal Code","Postcode"
