"%1$d of %2$d invitations were discarded.","Se han descartado %1$d de %2$d invitaciones."
"%1$d of %2$d invitations were sent.","Se han enviado %1$d de %2$d invitaciones."
"%d invitation(s) cannot be sent, because customer already exists for their emails. These invitations were discarded.","No se ha(n) podido enviar %d invitación(es) porque el cliente ya existe para sus direcciones de mail. Se han descartado estas invitaciones."
"%d invitation(s) were not sent, because customer accounts already exist for specified email addresses.","No se ha(n) enviado %d invitación(es) porque ya existe una cuenta de cliente para la dirección de mail especificada."
"%d invitation(s) were sent.","Se ha(n) enviado %d invitación(es)."
"%d of selected invitation(s) were skipped.","Se ha(n) saltado %d invitación(es) seleccionadas."
"* Required Fields","* Campos Requeridos"
"Invitation with status ""%s"" cannot be sent.","No se puede enviar la invitación con estado ""%s""."
"Invitations","Invitaciones"
"Invitations Accepted","Invitaciones aceptadas"
"Invitations Information","Información de las invitaciones"
"Invitations Sent","Invitaciones enviadas"
"Invite your friends by entering their email addresses below","Invite a sus amigos escribiendo sus direcciones de email a continuación"
"Invitee","Invitado"
"Invitee Group","Grupo de invitados"
"Invitee Information","Información de invitado"
"Inviter Information","Información del invitador"
"Last Name","Apellido"
"Link","Enlace"
"Manage Invitations","Administrar invitaciones"
"Max Invitations Allowed to be Sent at One Time","Número máximo de invitaciones que se pueden enviar a la vez"
"Message","Mensaje"
"Message cannot be updated.","El mensaje no puede ser actualizado."
"My Invitations","Mis invitaciones"
"N/A","N/A"
"Name","Nombre"
"New Accounts Registration","Registro de nuevas cuentas"
"New Invitations","Nuevas invitaciones"
"No customer group id specified.","No se ha especificado ninguna Id de grupo de clientes."
"No invitations have been resent","No se ha reenviado ninguna invitación"
"Not Sent","No enviado"
"Order Conversion Rate","Tipo de cambio del pedido"
"Please enter valid email addresses, separated by new line.","Por favor, introducir direcciones de correo válidas, separadas en diferentes renglones."
"Please select invitations.","Por favor, seleccionar invitaciones."
"Please specify at least one email.","Por favor, especificar al menos un email."
"Referred Customer Group","Grupo de Clientes referido"
"Registered","Registrado"
"Reports","Informes"
"Same as Inviter","El mismo que el invitador"
"Save Invitation","Guardar invitación"
"Send At","Enviar a"
"Send From","Enviar Desde"
"Send Invitation","Enviar invitación"
"Send Invitations","Enviar invitaciones"
"Send Selected","Enviar seleccionado"
"Sent","Enviada"
"Sign Up At","Inscribirse en"
"Signed Up At","Inscrito en"
"Status","Estado"
"Status History","Historial"
"Store View","Ver Tienda"
"The invitation has been saved.","La invitación ha sido guardada."
"There are no sent invitations yet","Aún no hay invitaciones enviadas"
"This invitation is not valid.","Esta invitación no es válida."
"Unable to determine proper website.","No es posible determinar el sitio web adecuado."
"Unable to generate encrypted code.","No es posible generar el código encriptado."
"Valid on Website","Válido en el sitio web"
"Website","Sitio web"
"Wrong store specified.","La tienda especificada es incorrecta."
"You cannot send more invitations","No puede enviar más invitaciones"
"Your invitation is not valid. Please contact us at %s.","Su invitación no es válida. Por favor contacte con nosotros en %s."
"Your invitation is not valid. Please create an account.","Su invitación no es válida. Por favor cree una cuenta."
