"(Staging Copy)","(Preparando copia)"
"Cannot perform create operation because reindexing process or another staging operation is running.","No se puede efectuar la operación de crear porque se está ejecutando el proceso de reindexado u otra operación intermedia."
"Cannot perform rollback operation because reindexing process or another staging operation is running.","No se puede llevar a cabo la operación de anulación porque se está ejecutando un proceso de reindexación u otra operación de preparación."
"Cannot perform the create operation because reindexing process or another staging operation is running.","No se puede efectuar la operación de crear porque se está ejecutando el proceso de reindexado u otra operación intermedia."
"Cannot perform the merge operation because reindexing process or another staging operation is running.","No se puede efectuar la operación de fusionar porque se está ejecutando el proceso de reindexado u otra operación intermedia."
"Cannot run the staging website.","No se puede ejecutar el sitio web de preparación."
"Catalog Categories","Catálogo de Categorías"
"Catalog Inventory","Inventario del Catálogo"
"Catalog Price Rules","Catálogo de Normas sobre Precios"
"Catalog Search","Catálogo de búsquedas"
"Choose Store View","Elija vista de tienda"
"Close Entire Frontend","Cerrar toda la interfaz del cliente"
"Close Website During Merge or Rollback","Cerrar el sitio web durante la combinación o anulación"
"Close only relevant websites","Cerrar sólo los sitios web relevantes"
"Completed","Completo"
"Content","Contenido"
"Content Staging","Preparación de contenido"
"Continue","Continuar"
"Could not remove the backup: #%s","No se puede eliminar la copia de respaldo: #%s"
"Create","Crear."
"Create New Staging Store View","Crear nueva fase de vista de tienda."
"Create New Staging Website","Crear nueva fase de página web."
"Create a backup","Crear una copia de seguridad."
"Created At","Creado en"
"Created Date","Crear fecha."
"Current: ","Actual:"
"Customers","Clientes"
"Delete","Eliminar"
"Details","Detalles"
"Downloadable","Se puede descargar."
"Edit","Editar"
"Entry point will be built using the staging website code.","El punto de entrada sera creado usando el código de la fases de la web."
"Export to:","Exportar a:"
"Failed to unschedule merge.","No se pudo desprogramar la combinación."
"Folder Name for Entry Points","Nombre de carpeta para puntos de entrada."
"From","De"
"Frontend Restriction","Restricción de la parte frontal."
"General Information","Información general"
"Gift Cards","Tarjetas de Regalo"
"HTTP Login","Inicio de sesión HTTP."
"HTTP Password","Clave HTTP."
"ID","Identificación"
"If no store view mapping is specified, only website-related information will be merged.","Si no se especifica mapeado de la vista de tienda, solo se fusionará información relacionada con la página web."
"Incorrect ID","Identificación incorrecta."
"Instant Merger","Fusión instantánea."
"Item model ""%s"" is not under backup","El modelo del artículo ""%s"" no está bajo copia de seguridad"
"Items","Artículos."
"Items to Copy","Artículos para copiar."
"Landing Page","Página de Llegada"
"Latest Event","Último evento."
"Log","Registro."
"Log Entry","Registro de entrada."
"Logged At","Registrado en."
"Master Store Code","Código de la tienda principal."
"Master Store ID","Identificación de la tienda principal."
"Master Website","Página web principal."
"Master Website Code","Código de la página web principal."
"Master Website ID","Identificación de la página web principal."
"Merge","Combinar."
"Merge Now","Combinar ahora."
"Merge...","Combinar...."
"Merger Scheduling","Programando combinación."
"Merger Unscheduling","Desprogramando combinación."
"Merging","Combinando."
"New Staging","Nueva fase."
"No","No"
"No information","No hay información"
"No information available.","No hay información disponible."
"Not accessible","No es accesible"
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Asegúrese de que la dirección URL básica termine con '/' (barra), por ejemplo: http://sudominio/magento/"
"Please make sure that Base URL ends with '/' (slash), e.g. https://yourdomain/magento/","Asegúrese de que la dirección URL básica termine con '/' (barra), por ejemplo: https://sudominio/magento/"
"Please make sure that folder %s exists and is writeable.","Por favor, asegúrate de que la carpeta %s existe y es modificable."
"Please, select a store view","Seleccione una vista de tienda"
"Polls","Encuestas"
"Processing","Procesando"
"Ready","Listo"
"Remove","Eliminar"
"Require HTTP Authentication","Requerir autenticación HTTP"
"Reset","Restablecer"
"Reset Status","Restablecer estado"
"Result","Resultado"
"Rollback","Anular"
"Sales","Ventas"
"Save","Guardar"
"Schedule Date","Programar fecha"
"Schedule Merge","Programar combinación"
"Scheduled Merger","Combinación programada"
"Secure Base URL","Dirección URL de base segura"
"Secure Base Url","URL base segura"
"Select Items to be Merged","Seleccione los elementos que desea combinar"
"Select Original Website Content to be Copied to the Staging Website","Seleccione el contenido del sitio web original que debe copiarse en el sitio web de preparación"
"Select Original Website Store Views to be Copied to Staging Website","Seleccione las vistas de tienda del sitio web original que deben copiarse en el sitio web de preparación"
"Select website to map","Seleccione el sitio web que desea asignar"
"Set Staging Merge Date","Establecer fecha de combinación de preparación"
"Settings","Configuración"
"Shopping Cart Price Rules","Reglas de Precio de Carro de Compra"
"Source Website","Sitio web de origen"
"Staging Merge Schedule Configuration","Preparando configuración de programación de combinación"
"Staging Operations Log","Preparando registro de operaciones"
"Staging Store Code","Preparando código de tienda"
"Staging Store Name","Preparando nombre de tienda"
"Staging Store: ","Preparando tienda:"
"Staging Table ""%s"" and Master Tables ""%s"" has different fields","La Tabla Intermedia ""%s"" y las Tablas Principales ""%s"" tienen diferentes campos"
"Staging Table %s does not exist","Preparando: la tabla %s no existe"
"Staging Type","Preparando tipo"
"Staging Website","Preparando sitio web"
"Staging Website - Merge Configuration","Preparando sitio web: configuración de combinación"
"Staging Website Code","Preparando código de sitio web"
"Staging Website Creation","Preparando creación de sitio web"
"Staging Website Id","Preparando ID de sitio web"
"Staging Website Information","Preparando información de sitio web"
"Staging Website Name","Preparando nombre de sitio web"
"Staging Website Settings","Preparando configuración de sitio web"
"Staging Website: ","Preparando sitio web:"
"Staging Websites","Preparando sitios web"
"Staging has been unscheduled.","Se eliminó la preparación del programa."
"Started","Iniciado"
"Status","Estado"
"Status Reset","Restablecimiento de estado"
"Store View Mapping","Asignación de vistas de tienda"
"Store Views to Copy","Vistas de tienda que se copiarán"
"Store: ","Tienda:"
"System","Sistema"
"System Configuration","Configuración de Sistema"
"Table Prefix","Prefijo de tabla"
"Tags","Etiquetas"
"Target","Destino"
"Terms And Conditions","Términos y condiciones"
"The base URL for this website will be created automatically.","La URL base para esta página web será creada automáticamente."
"The master website has been restored.","Se ha restaurado el sitio web principal."
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.","La contraseña debe tener al menos 6 caracteres. Se ignorarán los espacios antes o después."
"The staging Website ""%s"" cannot be merged at this moment.","La Página Web intermedia ""%s"" no puede ser fusionada en este momento."
"The staging website has been created.","La página web intermedia ha sido creada."
"The staging website has been merged.","La página web intermedia ha sido fusionada."
"The staging website has been saved.","La página web intermedia ha sido guardada."
"The staging website has been scheduled to merge.","La página web intermedia ha sido programada para fusionarse."
"There are no items selected for rollback.","No hay artículos seleccionados para la anulación."
"There are no store views for copying.","No hay vistas de tienda que copiar."
"There are no store views to be copied.","No hay vistas de tienda que se puedan copiar."
"There is wrong value in configuration for entry points folder name.","Hay un valor incorrecto en la configuración del nombre de carpeta de los puntos de entrada."
"There was no mapping defined for store views.","No hay una asignación definida para las vistas de tienda."
"This backup is read-only, because a merge or a rollback is in progress.","Esta copia de respaldo es de sólo lectura, ya que hay una combinación o una anulación en curso."
"To","Para"
"To create entry points, the folder %s must be writeable.","Para crear puntos de acceso, la carpeta %s debe ser modificable."
"URL","URL"
"URL Rewrites","Reescrituras de dirección URL"
"Unschedule","Eliminar de la programación"
"Unschedule Merge","Eliminar la combinación de la programación"
"Updated At","Hora de actualización"
"Use All","Utilizar todos"
"Visitor Logs","Registros de visitantes"
"Website","Sitio web"
"Website From","Sitio web de origen"
"Website Mapping","Asignación de sitio web"
"Website Name","Nombre de sitio web"
"Website To","Sitio web de destino"
"Website code is not defined.","No está definido el código del sitio web."
"Website: ","Sitio web:"
"Websites Backup Information","Información de respaldo del sitio web"
"Wishlist","Lista de deseos"
"Wrong item resource adapter model.","Modelo de adaptador de recursos de artículos incorrecto."
"[deleted]","[eliminado]"
"available","disponible"
"click here","haga clic aquí"
"ok","aceptar"
"or","o bien"
"unknown item","artículo desconocido"
"version mismatch","falta de coincidencia de versión"
