"-- Not Selected --","-- Sin seleccionar --"
"Active","Activo"
"Unknown quote total specified","Cuota desconocida total especificada."
"Up to %s customers may receive reminder email after this action.","Hasta un determinado porcentaje de clientes puede que reciban correos electrónicos recordatorios después de esta acción."
"Valid range: 0-59 (default 0).","Rango valido: 0-59 (por defecto 0)."
"Virtual Only","Solo virtual."
"Website","Sitio web"
"Wishlist","Lista de deseos"
"Wrong reminder rule requested.","Regla recordatoria inválida requerida."
"Yes","Sí"
"base cost","Coste básico."
"base price","Precio básico."
"does not have","No tiene"
"found","Encontrado."
"grand total","Cantidad total."
"has","tiene"
"is","Es."
"is not","No es."
"not found","No encontrado."
"quantity","Cantidad."
"row weight","Precio de la serie."
"subtotal","Total."
"weight","Peso"
