"Gift Registry Section","Sección del Registro de Obsequios"
"Gift Registry Sharing","Compartir el Registro de Obsequios"
"Gift Registry Type","Tipo de Registro de Obsequios"
"Gift Registry Update","Actualización del Registro de Obsequios"
"Gift Registry has no items.","El Registro de Obsequios no tiene artículos."
"Gift registry has been deleted.","El Registro de Obsequios ha sido borrado."
"Gift registry items have been updated.","Los artículos del Registro de Obsequios han sido actualizados."
"Go","Ir"
"ID","Identificación"
"Inactive","Inactivo"
"Incorrect Type.","Tipo incorrecto."
"Incorrect address selected.","Direccion incorrecta seleccionada."
"Incorrect gift registry type.","Tipo de registro de regalo incorrecto."
"Incorrect recipient data.","Recipiente de datos incorrecto."
"Input Type","Introducir tipo"
"Invalid item option format.","Formato de opción de artículo no válido."
"Invalid product for adding item to quote.","Producto no válido para añadirlo al presupuesto."
"Is Default","Es Por Defecto"
"Is Listed","Es Listado"
"Is Public","Es Público"
"Is Required","Es Requerido"
"Is Searcheable","Es Localizable"
"Items Fulfilled","Artículos Completados"
"Items Remaining","Artículos Restantes"
"Label","Etiqueta"
"Last Name","Apellido"
"Last Name:","Apellido:"
"Location","Localidad"
"Long","Largo"
"Manage Customers","Gestionar Clientes"
"Manage Gift Registry Types","Gestionar Tipos de Registros de Regalos"
"Manage Items","Gestionar Artículos"
"Max Emails Allowed to be Sent at One Time","Máximo Número Permitido de Emails que se Pueden Enviar de Una Vez"
"Max Recipients Limit","Límite Máximo de Receptores"
"Maximum %d email addresses allowed.","Máximo %d direcciones de email permitidas"
"Maximum %d recipients allowed.","Máximo %d receptores permitidos."
"Medium","Medio"
"Message","Mensaje"
"Message:","Mensaje:"
"My Wishlist","Mi Lista de Deseos:"
"Name","Nombre"
"Name:","Nombre:"
"New Address","Nueva Dirección"
"New Gift Registry Type","Nuevo Tipo de Registro de Regalos"
"New Type","Nuevo Tipo"
"Next","Siguiente"
"No","No"
"No address selected.","No se ha seleccionado ninguna dirección."
"None","Nada"
"Note","Nota"
"Nothing to add to gift registry.","Nada que añadir al registro de regalos."
"Out of stock","Agotado"
"Owner","Propietario"
"Owner Notification","Notificación del Propietario"
"Please Select","Seleccionar, por favor."
"Please add rows to option.","Por favor, añadir filas a la opción."
"Please enter at least 2 letters of the first name.","Por favor, introducir al menos 2 letras del nombre."
"Please enter at least 2 letters of the last name.","Por favor, introducir al menos 2 letras del apellido."
"Please enter at least 2 letters.","Por favor, introducir al menos 2 letras."
"Please enter correct ""%s"".","Por favor, introduzca un %s"" correcto."
"Please enter the ""%s"".","Por favor, introduzca el %s""."
"Please enter valid email addresses, separated by comma.","Por favor, introducir direcciones de email válidas separadas por comas."
"Please input a valid email address.","Por favor, introducir una dirección de email válida."
"Please select gift registry type","Por favor, seleccionar tipo de registro de regalos."
"Please select region, state or province","Por favor, seleccionar región, estado o provincia"
"Please specify at least one email.","Por favor, especificar al menos un email."
"Please specify correct search options.","Por favor, especificar opciones correctas de búsqueda."
"Please specify gift registry ID.","Por favor, especificar ID de registro de regalos."
"Please specify the quantity of items that you want to add to cart.","Por favor, especificar la cantidad de artículos que quieres añadir al carro."
"Please use different input type for this code.","Por favor, utiliza un tipo de entrada diferente para este código"
"Please wait, loading...","Espera, por favor. Cargando...."
"Price","Precio"
"Privacy Settings","Configuración de Privacidad"
"Private","Privado"
"Product","Producto"
"Product ID","ID de Producto"
"Product Name","Nombre de Producto"
"Product SKU","Unidad de Mantenimiento de Existencias de Producto"
"Public","Público"
"Qty","Cantidad"
"Qty Fulfilled","Cantidad satisfecha"
"Qty:","Cantidad:"
"Quantity","Cantidad"
"Quick Search Form Types","Tipos de Formulario de Búsqueda Rápida"
"RSS Feed","Fuente RSS"
"Recipient","Destinatario"
"Recipient Email","E-mail del Destinatario"
"Recipient Email Search","Búsqueda de E-mail del Destinatario"
"Recipient Name Search","Búsqueda de Nombre del Destinatario"
"Recipient:","Destinatario:"
"Recipients","Destinatarios"
"Recipients Information","Información de los Destinatarios"
"Registry owner","Propietario del registro"
"Remaining","Restante"
"Remaining Quantity","Cantidad Restante"
"Remove","Eliminar"
"Remove Email","Eliminar E-mail"
"Remove Item","Eliminar elemento"
"Remove item","Eliminar artículo"
"Requested","Solicitado"
"Requested Quantity","Cantidad Solicitada"
"Role","Función"
"Save","Guardar"
"Save and Continue Edit","Guardar y continuar editando"
"Search","Buscar"
"Search By","Buscar Por"
"Search Options","Opciones de Búsqueda"
"Search Results","Resultados de la Búsqueda"
"Select","Seleccionar"
"Select Gift Registry","Seleccionar Registro de Regalos"
"Select Search Type","Seleccionar Tipo de Búsqueda"
"Select a shipping address from your address book or enter a new address.","Seleccione una dirección de envío desde su libreta de direcciones o introduzca una nueva dirección."
"Send From","Enviar Desde"
"Sender:","Remitente:"
"Share","Compartir"
"Share '%s' Gift Registry","Compartir registro de regalo '%s'"
"Share Gift Registry","Compartir Registro de Regalos"
"Share Wishlist","Compartir Lista de Deseos"
"Sharing Information","Compartiendo Información"
"Ship to recipient's address.","Enviar a la dirección del destinatario."
"Ship to recipient\'s address","Enviar a la dirección del destinatario"
"Shipping Address","Dirección de Envío"
"Shopping Cart Items","Elementos del Carro de la Compra"
"Shopping cart items have been added to gift registry.","Los elementos del carro de la compra han sido añadidos al registro de regalos."
"Short","Corto"
"Show Region","Mostrar Región"
"Sort Order","Ordenar Pedido"
"State/Province","Estado/Provincia"
"Static Types","Tipos Estáticos"
"Status","Estado"
"Street Address","Calle"
"Street Address %s","%s de Calle"
"Telephone","Teléfono"
"Text","Texto"
"The gift registry entity has been deleted.","La entidad del registro del regalo ha sido borrada."
"The gift registry has been shared for %d emails.","El registro del regalo ha sido compartido por %d correos electrónicos."
"The gift registry items have been updated.","Los artículos del registro del regalo han sido actualizados."
"The gift registry type has been deleted.","El tipo de registro de regalo ha sido borrado."
"The gift registry type has been saved.","El tipo de registro de regalo ha sido grabado."
"There are no created gift registries yet.","Aún no se ha creado ningún registro de regalo."
"There is no active gift registries.","No hay registros de regalo activos."
"This product(s) is currently out of stock.","Estos productos están agotados actualmente."
"To","Para"
"To make search results narrower, specify gift registry type prior to searching. By default, all registry types are searched.","Para reducir la búsqueda, especifique el tipo de registro de regalo antes de buscar. Si no indica ninguno se buscan todos los tipos."
"Total","Total"
"Total Fulfilled Quantity","Cantidad total completada"
"Total Items","Artículos totales"
"Type","Tipo"
"Type Specific Options","Opciones específicas del tipo"
"Unit Price","Precio por unidad"
"Update Gift Registry","Actualizar el registro del regalo"
"Update Items and Qty\'s","Actualizar artículos y cantidades"
"Update Qty","Actualizar cant."
"Update Wishlist","Actualizar la lista de peticiones"
"Use Default Value","Utilizar Valor por Defecto"
"Use gift registry shipping address","Usar la dirección de envío del registro del regalo"
"View","Ver"
"Virtual, Downloadable, and virtual Gift Card products cannot be added to gift registries.","No se pueden añadir a los registros de regalos productos virtuales, descargables o de tarjetas de regalo virtuales."
"Website","Sitio web"
"Wishlist item have been added to gift registry.","Se ha añadido el artículo de la lista de peticiones al registro del regalo."
"Wrong gift registry ID specified.","ID de registro de regalo especificado incorrecto."
"Wrong gift registry entity requested.","Ha pedido una entidad de registro de regalo equivocada."
"Wrong gift registry item ID specified.","ID de artículo de registro de regalo especificado incorrecto."
"Wrong gift registry type requested.","Ha pedido un tipo de registro de regalo equivocado."
"Yes","Sí"
"You have no items in your wishlist.","No tiene artículos en su lista de peticiones."
"Your search returned no results.","La búsqueda no ha dado ningún resultado."
"Your search returns no results.","La búsqueda no da ningún resultado."
"Zip/Postal Code","Código Postal"
"Gift Registry has been successfully saved.","El registro de regalos ha sido guardado con éxito."
