"* Required Fields","* Campos Requeridos"
"New Customer Address Attribute","Nuevo Atributo de Dirección de Cliente"
"New Customer Attribute","Nuevo Atributo de Cliente"
"New Customers","Nuevos Clientes"
"New Fieldset","Nueva Configuración de Campo"
"New Form Type","Nuevo Tipo de Formulario"
"New Password","Nueva Contraseña"
"Newsletter Subscription","Suscripción al boletín de noticias"
"Newsletters","Boletín de Noticias"
"No","No"
"None","Nada"
"Password","Contraseña"
"Personal Information","Información Personal"
"Please enter your email below and we will send you the confirmation link for it.","Por favor, indica tu email debajo y te enviaremos el enlace de confirmación para él."
"Please enter your email below and we\'ll send you a new password.","Por favor, indica tu dirección de mail debajo y te enviaremos una nueva contraseña."
"Please select region, state or province","Por favor, seleccionar región, estado o provincia"
"Properties","Propiedades"
"Register","Registro"
"Registered Customers","Clientes Registrados"
"Remove","Eliminar"
"Save","Guardar"
"Save Address","Guardar Dirección"
"Save Attribute","Guardar Atributo"
"Save Password","Guardar Contraseña"
"Save and Continue Edit","Guardar y continuar editando"
"Send confirmation link","Enviar enlace de confirmación"
"Show on Frontend","Mostrar en Primer Plano"
"Sign Up for Newsletter","Darse de Alta para Boletín de Noticias"
"Sort Order","Ordenar Pedido"
"State/Province","Estado/Provincia"
"Store Credit","Crédito de Tienda"
"Store View","Ver Tienda"
"Street Address","Dirección de Calle"
"Submit","Enviar"
"System","Sistema"
"System form type cannot be deleted.","No se puede eliminar el formulario de tipo de sistema"
"Telephone","Teléfono"
"The customer address attribute has been deleted.","Se ha borrado el atributo de dirección del cliente"
"The customer address attribute has been saved.","Se ha guardado el atributo de dirección del cliente."
"The customer attribute has been deleted.","Se ha borrado el atributo de cliente."
"The customer attribute has been saved.","Se ha guardado el atributo de cliente."
"This is My Default %s Address","Esta es mi %s Dirección por Defecto"
"To use this attribute in address template you should edit it here.","Para usar este atributo en la plantilla de dirección debes editarlo aquí."
"Use Store Credit (%s available)","Usar el Crédito de tienda (%s disponible)"
"Use as My Default %s Address","Utilizar como mi %s Dirección por Defecto"
"Use as my default billing address","Utilizar como mi dirección de facturación por defecto"
"Use as my default shipping address","Utilizar como mi dirección de envío por defecto"
"Use helper with defined EAV entity","Utilice el asistente con la entidad EAV (Modelo Entidad-Atributo-Valor) definida"
"Valid range 2-20","Rango válido 2-20"
"Visible on Frontend","Visible en Primer Plano"
"YYYY","YYYY"
"Year","Año"
"Yes","Sí"
"You are currently not subscribed to any newsletter.","Actualmente no estás suscrito a ningún boletín de noticias"
"You are currently subscribed to 'General Subscription'.","Actualmente estás suscrito a 'Suscripción General'."
"You are currently subscribed to our newsletter.","Actualmente estás suscrito a nuestro boletín de noticias"
"You cannot delete this attribute.","No puedes borrar este atributo."
"You cannot edit this attribute.","No puedes editar este atributo."
"You have no additional address entries in your address book.","No tienes anotaciones adicionales de dirección en tu libreta de direcciones."
"You have no default billing address in your address book.","No tienes ninguna dirección de facturación por defecto en tu libreta de direcciones."
"You have no default shipping address in your address book.","No tienes ninguna dirección de envío por defecto en tu libreta de direcciones."
"Zip/Postal Code","Código Postal"
